"","ID_new","PraiseEmpathy1","PraiseEmpathy2","PraiseEmpathy3","PraiseEmpathy4","PraiseEmpathy5","PraiseEmpathy6","PraiseEmpathy7","PraiseEmpathy8","PraiseEmpathy9","PraiseEmpathy10","PraiseEmpathy11","PraiseEmpathy12","PraiseEmpathy13","PraiseEmpathy14","PraiseEmpathy15","PraiseEmpathy1a","PraiseEmpathy2a","PraiseEmpathy3a","PraiseEmpathy4a","PraiseEmpathy5a","PraiseEmpathy6a","PraiseEmpathy7a","PraiseEmpathy8a","PraiseEmpathy9a","PraiseEmpathy10a","PraiseEmpathy11a","PraiseEmpathy12a","PraiseEmpathy13a","PraiseEmpathy14a","PraiseEmpathy15a","Aa","Ba","Ca","Q415","Q427","Q436","Q448","Q460","Q472","Q484","Q496","Q508","Q520","Q532","Q544","Ab_1","Bb_1","Cb_1","Q418_1","Q430_1","Q439_1","Q451_1","Q463_1","Q475_1","Q487_1","Q499_1","Q511_1","Q523_1","Q535_1","Q547_1","Ab_2","Bb_2","Cb_2","Q418_2","Q430_2","Q439_2","Q451_2","Q463_2","Q475_2","Q487_2","Q499_2","Q511_2","Q523_2","Q535_2","Q547_2","Ab_3","Bb_3","Cb_3","Q418_3","Q430_3","Q439_3","Q451_3","Q463_3","Q475_3","Q487_3","Q499_3","Q511_3","Q523_3","Q535_3","Q547_3","Ac","Bc","Cc","Q421","Q433","Q442","Q454","Q466","Q478","Q490","Q502","Q514","Q526","Q538","Q550","attrite_1","attrite_2","attrite_3","attrite_4","attrite_5","attrite_6","attrite_7","attrite_8","attrite_9","attrite_10","attrite_11","attrite_12","attrite_13","attrite_14","attrite_15","firstimage_race","secondimage_race","thirdimage_race","fourthimage_race","fifthimage_race","sixthimage_race","seventhimage_race","eighthimage_race","ninethimage_race","tenthimage_race","eleventhimage_race","twelfthimage_race","thirteenthimage_race","fourteenthimage_race","fifteenthimage_race","firstimage_emotion","secondimage_emotion","thirdimage_emotion","fourthimage_emotion","fifthimage_emotion","sixthimage_emotion","seventhimage_emotion","eighthimage_emotion","ninethimage_emotion","tenthimage_emotion","eleventhimage_emotion","twelfthimage_emotion","thirteenthimage_emotion","fourteenthimage_emotion","fifteenthimage_emotion","ID","Age","Sex","Race","Education","Income","Religion","pres_approval","ideology","Party","post17","BaseEmpathy_1","BaseEmpathy_2","BaseEmpathy_3","BaseEmpathy_4","BaseEmpathy_5","BaseEmpathy_6","BaseEmpathy_7","BaseEmpathy_8","BaseEmpathy_1_n","BaseEmpathy_2_n","BaseEmpathy_3_n","BaseEmpathy_4_n","BaseEmpathy_5_n","BaseEmpathy_6_n","BaseEmpathy_7_n","BaseEmpathy_8_n","BaseEmpathy_perspective","BaseEmpathy_warm","BaseEmpathy_anxiety","BaseEmpathy_imagination","trial","describeORfeel","describeORfeel1","describeORfeel2","describeORfeel3","describeORfeel4","describeORfeel5","describeORfeel6","describeORfeel7","describeORfeel8","describeORfeel9","describeORfeel10","describeORfeel11","describeORfeel12","describeORfeel13","describeORfeel14","describeORfeel15","PraiseEmpathy","PraiseEmpathy_a","text1","text2","text3","text4","therm","attrite","race_randomized","emotion_randomized","describeORfeel_new","race_randomized2","emotion_randomized2","PraiseDescribe_v_Control","trump_approval_n","BaseEmpathy_battery","BaseEmpathy_tercile","text"
"2165",2165,NA,0,0,0,1,0,0,NA,NA,1,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,0,0,1,NA,NA,NA,NA,NA,"This is a young African-American male","This is a young Caucasian man","Young African-American man","This man looks very confused and concerned","He looks to be nervously smiling at something","This man is very shocked.","This man is clearly terrified","This is a young white male","This is a young African-American man","This man is very surprised and not sure what to feel","He seems to be feeling apprehensive about something","This man was very surprised and worried","He looks miffed, but not fully angry","He looks very surprised.","He looks disappointed and upset","Young","Young","Young","Confused","Fret","Surprised","Terrified","Caucasian","Young","Confusion","Unease","Worry","Disapproval","Surprise","Upset","African-American","Caucasian","African-American","Worried","Worried","Shocked","Scared","Man","African-American","Surprise","Discomfort","Surprise","Upset","Unexpected","Disappointed","Man","Man","Man","Concerned","Nervous","Dumbfounded","Petrified","Young","man","Shock","Surprise","Unsure","Disappointed","Shock","Sad","5","5","5","5","7","5","5","5","5","5","5","5","5","5","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","B","W","W","W","W","B","W","B","B","W","B","B","F","A","A","A","F","F","F","A","A","F","F","F","A","F","A",197,"31-40","Male","Black or African American","Bachelor's degree (BA/BS)","25k to less than 50k","Protestant","7","3","Independent",3,"Describes me very well","Describes me very well","Describes me very well","Describes me very well","Does not describe me well","Does not describe me well","Somewhat describes me","Somewhat describes me",5,5,5,5,1,1,3,3,10,10,2,6,"describeORfeel7",1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,"This man is clearly terrified","Terrified","Scared","Petrified","5",0,"W","F",0.5,0,0,0,1,28,"Medium","This man is clearly terrified Terrified Scared Petrified"
"2170",2170,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,1,0,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,NA,"He looks like he just saw his girlfriend being fucked by a black guy and is angry","23 year old muslim black dude who likes chicken","Black 20 year old male who just farted","He looks like he just got his asshole pegged by he is trans girlfriend","This dude looks like a beta liberal cuck","This is a 20 year old male essay or cholo","This dude is in shock in disgust after he cut off a horses cock","Black male and 23 years of age definite criminal","This dude is in awe after being raped by a bunch of  midgets","black male 18 tears of age and criminal","This guy just saw a transgender pull their cock out and piss ","This dude is shocked he is going to jail for burning looting and murdering during riots","black 15 year old male criminal like always ","this dude is so stoned he banged a hooker with a cock","30 year old white male definitely a beta liberal cuck","angry","black","black","shocked","beta","23","horse cock cutter","black","awe","black criminal","disgust","scared","black","serene","30","shame","20 year old","20 ear old male","awe","liberal","male","black","male","shock","18 years of age","anger","surprised","15","dumbfounded","white","evil","chicken lover","farter","painful ass","cuckold","mexican","shock","twenties","sadness","male","sadness","wants chicken","criminal male","cocklover","make cuck","2","7","0","7","6","0","0","0","6","0","7","0","0","6","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","W","W","W","B","B","W","B","W","B","B","W","W","A","A","A","F","F","A","F","F","F","F","F","F","A","A","F",202,"31-40","Male","White","Some college, but did not complete a degree","25k to less than 50k","Atheist/agnostic","1","4","Republican",2,"Somewhat describes me","Describes me","Somewhat describes me","Does not describe me","Does not describe me","Somewhat describes me","Describes me","Describes me",3,4,3,2,2,3,4,4,7,5,5,8,"describeORfeel7",1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,NA,0,"This dude is in shock in disgust after he cut off a horses cock","horse cock cutter","black","shock","0",0,"B","F",0.5,1,0,1,7,25,"Low","This dude is in shock in disgust after he cut off a horses cock horse cock cutter black shock"
"2175",2175,NA,0,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,0,NA,0,0,0,1,0,0,1,1,1,0,1,0,1,"He is very sad","He is very sad","Surprises","Sad","He is very surprises","He is older then 25 and he is White male","He is very sad","He is older then 25 and he is White male","He is older then 25 and he is black male","He is older then 26 and he is black male","He is older then 26 and he is black male","He is older then 29 and he is black male","He is older then 22 and he is Black male","He look something interesting","He is older then 25 and he is White male","Sad","Sad","Sad","25","Sad","25","Sad","25","24","26","26","28","22","Sad","25","Bad","Bad","negative","black","Surprises","Male","Bad","Male","Male","male","male","male","Male","Bad","Male","Feel","Angry","Bad","White","Bad","White","Negative","White","Black","black","black","black","Black","Negative","White","10","9","9","8","10","9","10","9","10","10","10","10","10","9","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","W","W","W","W","B","B","B","B","B","W","B","F","A","F","A","F","A","F","A","F","A","F","F","A","A","A",207,"20-30","Male","White","Some college, but did not complete a degree","50k to less than 75k","Protestant","2","2","Strong Republican",2,"Does not describe me","Somewhat describes me","Describes me","Somewhat describes me","Does not describe me","Somewhat describes me","Describes me","Somewhat describes me",2,3,4,3,2,3,4,3,5,7,5,7,"describeORfeel7",1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,NA,0,"He is very sad","Sad","Bad","Negative","10",0,"W","F",0.5,0,0,1,6,24,"Low","He is very sad Sad Bad Negative"
"2178",2178,1,0,NA,1,NA,1,NA,0,1,1,1,0,0,1,0,1,NA,0,1,0,1,0,NA,1,1,1,NA,NA,1,NA,"This white man in his early 30s looks like he's been quite shocked.  ","This man looks angry and disgusted.","This asian man is early twenties","This man looks like he's seen a ghost","This man looks like he's incredibly annoyed at someone","This man is experiencing great surprise or wonder","This man is looking cross and upset , sadness maybe. ","This man was surprised out of his pants by something surprising","This white man in his 30s is annoyed","This man looks like he was wonderfully surprised","This man looks incredulous about something and skeptical","This man looks a bit creeped out and disgusted","This man looks very unsure of something and is left wondering","This guy is super angry about something","This man is shocked and unable to move from what he has seen","white","angry ","young adult","confused","irritated","shocked","sad eyes","wonder","white","happy","skeptical","unsure","wondering","livid","surprised","male","eyebrows","asian","concerned","thinking","surprised","upset","shocked","youngish","surprise","unsure","grossed","thinking","angry","horrorfied","thirty","mad","guy","scared","pissed","wow'ed","unhappy","captivated","male","wowed","uncertain","disgusted","unsure","seething","frozen","5","5","4","5","5","5","6","6","5","5","5","4","5","5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","B","B","W","B","B","W","W","B","B","W","W","B","F","A","A","F","A","F","A","F","A","F","F","F","A","A","F",210,"41-50","Female","White","Associate degree","50k to less than 75k","Nothing in particular","7","2","Democrat",3,"Describes me very well","Describes me very well","Describes me very well","Describes me very well","Does not describe me","Does not describe me well","Describes me","Describes me",5,5,5,5,2,1,4,4,10,10,3,8,"describeORfeel7",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,"This man is looking cross and upset , sadness maybe. ","sad eyes","upset","unhappy","6",0,"B","A",0.5,1,1,1,1,31,"Medium","This man is looking cross and upset , sadness maybe.  sad eyes upset unhappy"
"2181",2181,1,1,0,NA,1,0,NA,NA,NA,1,NA,0,0,0,0,1,1,NA,0,1,NA,0,0,0,1,0,NA,NA,NA,NA,"bad","30","like","nice","25","24","30","25","26","27","28","25","34","22","26","like","life","nothing","like","like","bad","like","like","nothing","nothing","nice","like","sad","n/a","like","nice","nice","bad ","nice","sad","sad","nice","nice","sed","nice","sad","nice","like","n/a","nice","good","food","sad","good","bad","nothing","good","beautiful","bad","like","like","good","nice","n/a","good","9","8","8","8","8","3","8","8","8","7","7","6","7","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","W","B","B","W","W","W","W","B","B","W","W","B","B","F","A","F","F","A","F","F","A","F","A","A","A","F","A","A",213,"20-30","Male","Black or African American","Bachelor's degree (BA/BS)","75k to less than 100k","Protestant","1","6","Strong Republican",4,"Somewhat describes me","Describes me","Describes me very well","Describes me","Somewhat describes me","Describes me","Describes me","Describes me very well",3,4,5,4,3,4,4,5,7,9,7,9,"describeORfeel7",1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,NA,0,"30","like","nice","good","8",0,"W","F",0.5,0,0,1,7,32,"Medium","30 like nice good"
"2182",2182,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,"good","good","sad","orel","sad","bover","sad","good","amiable","amused	","angree","excited","happy","sad","sad","Motivated ","Ethical ","Visionary","Visionary","Innovative ","Leader","agreeable","exceptional","agreeable","excellent","excellent","no","happy","excellent","sad","Ambitious ","Innovative ","Extrovert","Creative ","Creative ","Personable ","euphoric","mild-mannered","euphoric","excited","merry","no","good","mild","angree","Leader","Leader","Ethical ","Innovative ","Visionary","Creative ","merry","amiable","meritorious","exceptional	","exceptional","no","super","amused","bad","8","8","9","8","9","9","7","9","8","8","8","8","8","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","W","B","W","W","B","B","B","W","W","W","W","W","F","F","F","A","F","A","A","F","F","A","A","F","F","A","A",214,"20-30","Male","White","Master's degree (MA/MS/MBA)","75k to less than 100k","Orthodox (Greek or Russian)","3","6","Republican",2,"Describes me very well","Describes me","Describes me","Describes me very well","Describes me","Describes me","Describes me very well","Describes me very well",5,4,4,5,4,4,5,5,9,9,8,10,"describeORfeel7",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,"sad","agreeable","euphoric","merry","7",0,"W","A",0.5,0,1,NA,5,36,"High","sad agreeable euphoric merry"
"2184",2184,NA,0,NA,0,0,NA,1,0,NA,NA,NA,0,1,1,0,0,NA,0,NA,NA,0,1,NA,0,0,0,NA,1,1,NA,"i would like it","somewhat angry ","scared ","atrocities ","socking ","thinking","sad","sock","thinking ","happy","fearful","angry","mistake","socking","sock","socking ","angry ","fearful","teas","fear","something missing ","upset","fearful ","depression","fun","socking","angry","guilty","fearful","sock","surprised ","depression ","scared","fun","socking","deep thinking ","guilty","socking ","thinking","enjoyment","fearful","tension","mistake","socking","fear","impressed ","upset ","cry","enjoyment","first time saw ","idea","sad","fear ","fear","happy","think","fight","confusing ","first impression ","impression ","6","8","3","7","2","2","1","2","3","10","8","0","8","7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","W","W","B","W","B","B","W","B","W","B","B","F","A","F","A","F","A","A","F","A","F","A","A","F","F","F",216,"51-60","Male","White","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","2","4","Republican",2,"Somewhat describes me","Describes me","Does not describe me","Somewhat describes me","Describes me","Somewhat describes me","Describes me","Describes me",3,4,2,3,4,3,4,4,7,5,7,8,"describeORfeel7",1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,"sad","upset","guilty","sad","1",0,"B","A",0.5,1,1,NA,6,27,"Low","sad upset guilty sad"
"2185",2185,1,0,1,0,1,1,0,1,1,1,NA,0,NA,NA,1,1,NA,1,NA,1,1,NA,1,1,1,0,NA,0,0,1,"He is a young black male.","This guy is frustrated or mad at someone.","He is feeling disgusted or shocked by something he sees","he is worried about something or concerned with what he is seeing","He is surprised by something and a little shocked at what hes seen","This person is worried about something or a little disgusted","He is feeling angry and frustrated at someone.","He is feeling stubborn and mad at someone.","He is feeling angry and concerned, he might also feel frustated.","He looks like he is feeling distant and despondent, ","This a black man who is middle aged.","He is feeling surprise and shock and like he was caught off gaurd.","He is feeling concerned and fraught with anxiety about something.","He is feeling surprise and shock and like he found out something he wasn't expecting. ","He is feeling sad and blue and down in the dumps.","young","mad","surprised","worried","surprised","worried","angry","stubborn","angry","distant","black","shocked","anxious","shocked","sad","black ","suspicious","shocked","concerned","shocked","disgusted","frustrated","mad","mad","dispondent","man","surprised","worried","amazed","upset","male","angry","disgusted","sad","wowed","concerned","pissed off","frustrated","frusterated","mad","middle aged","caught in the act","concerned","surprised","letdown","7","3","5","6","8","5","3","4","4","2","2","4","4","9","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","B","B","B","B","W","B","B","B","B","W","B","W","F","A","F","A","F","A","A","A","A","F","A","F","A","F","A",217,"41-50","Male","White","Some college, but did not complete a degree","75k to less than 100k","Atheist/agnostic","7","1","Strong Democrat",5,"Describes me","Describes me","Describes me very well","Describes me very well","Does not describe me","Does not describe me well","Describes me","Describes me",4,4,5,5,2,1,4,4,8,10,3,8,"describeORfeel7",1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,NA,"He is feeling angry and frustrated at someone.","angry","frustrated","pissed off","3",0,"B","A",0.5,1,1,0,1,29,"Medium","He is feeling angry and frustrated at someone. angry frustrated pissed off"
"2186",2186,0,0,0,0,1,1,NA,1,NA,0,NA,NA,1,1,0,NA,NA,NA,NA,1,1,0,1,0,NA,0,0,1,1,NA,"He feels upset or annoyed about something he just witnessed.","A somewhat young man, possibly in his twenties, who is Black.","He is happy as his day may be going well, or something nice just happened.","He just witnessed something bad / shocking happen that is scarring.","His day may have just gotten ruined, as he is quite upset.","He looks delighted, as a nice surprise may have occurred.","He is very upset, and seems to be holding back tears.","He is very shocked, as if he saw something utterly horrible.","Something bad may have occurred, as he is very upset and in disbelief.","He cannot believe what just happened, as it's too much for him to bear.","He is either contemplating going forward with an action, or is trying to figure something else out.","He is in shock, though it seems his expression could be representative of either a good or bad event.","He is surprised at something that just happened, like a thought process of ""Seriously?""","He looks terrified, as if something horrible just took place.","He is quite upset, as if someone he knew just left him, or he lost out on something he was hoping for.","Unhappy","Twenties","Delighted","Fearful","Angry","Surprised","Angry","Saddened","Tearful","Shocked","Forceful","Shocked","Disbelief","Scared","Unhappy","Annoyed","Male","Grateful","Disgusted","Disbelief","Positive","Confused","Shocked","Frustrated","Scared","Dominating","Horrified","Bewildered","Shocked","Powerless","Serious","Black","Eager","Shocked","Upset","Content","Sad","Unbelieving","Sad","Hopeless","Bad","Saddened","Fearful","Frozen","Hopeless","6","7","7","6","5","7","6","7","7","6","0","8","6","8","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","B","B","B","B","W","B","B","W","B","W","B","W","A","F","F","F","F","F","A","F","A","F","A","F","F","F","A",218,"20-30","Male","White","High school or equivalent (GED)","50k to less than 75k",NA,"6","4","Independent",4,"Does not describe me","Does not describe me","Describes me very well","Describes me very well","Does not describe me","Does not describe me","Describes me","Somewhat describes me",2,2,5,5,2,2,4,3,4,10,4,7,"describeORfeel7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,"He is very upset, and seems to be holding back tears.","Angry","Confused","Sad","6",0,"B","A",0.5,1,1,1,2,25,"Low","He is very upset, and seems to be holding back tears. Angry Confused Sad"
"2187",2187,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,1,0,1,0,NA,0,NA,0,NA,0,0,0,0,"Black man who is lost","White male who is tired","Young white male who is angry","I think he is very angry","I think he is very feared","I think this person is very excited","I think he is dumbfoundead","I think he is middle aged white male who is stunned","I think this person is very aware","I think he is a white male who is young","I think he is a young mean person","I think he is a young mad","I think he is very upset","I think he is spooked","I think he is spooked","Black","White","young","Angry","Fear","Excited","Alert","White","Aware","Young","Young","Young","Upset","Spooked","spooked","young","young","male","mad","Angry","Alert","Excited","young","Disturbed","white","Mad","White","Mad","Scared","scared","male","tired","white","fear","Sad","Aware","Happy","Male","Alert","Male","Lad","Male","Angry","Upset","upset","5","4","5","5","5","3","7","5","6","5","4","5","3","3","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","W","B","B","W","B","W","W","W","W","W","W","W","W","F","F","A","A","F","F","F","F","A","A","A","A","A","F","F",219,"20-30","Male","Native Hawaiian or Pacific Islander","High school or equivalent (GED)","25k to less than 50k","Nothing in particular","4","4","Lean Republican",4,"Somewhat describes me","Does not describe me well","Describes me very well","Describes me","Does not describe me","Does not describe me","Somewhat describes me","Describes me",3,1,5,4,2,2,3,4,4,9,4,7,"describeORfeel7",1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,NA,"I think he is dumbfoundead","Alert","Excited","Happy","7",0,"B","F",0.5,1,0,0,4,24,"Low","I think he is dumbfoundead Alert Excited Happy"
"2189",2189,0,1,1,NA,1,1,1,0,1,0,1,1,NA,1,NA,NA,1,1,0,1,1,1,NA,1,NA,1,1,0,1,0,"The man is scared.","The man is feel judgemental.","The man is young and black.","The man is young, black, and male.","A black man in his 20s.","A young European man.","The man is angry at someone.","The man is mad about an event.","He is shocked about something he sees.","The man is being judgmental toward someone.","The kid looks disgusted about something.","The man is amused by something he says.","The man is shocked about something and possibly a bit freaked out.","The man is scornful toward someone for something they did.","The guy is disgusted while a little surprised.","Afraid","Judgemental","Black","30's","20s","European","Angered","Mad","Shocked","Judging","Disgusted","Amused","Startled","Scornful","Disgusted","Shocked","Scornful","Teenage","Black","Black","Young Adult","Scornful","Angry","Afraid","Critical","Grossed Out","Surprised","Disgusted","Annoyed","Shocked","Scared","Disdainful","Male","Man","Male","Male","Disdain","Pissed","Nervous","Disdainful","Judging","Giddy","Shocked","Angered","Surprised","6","3","4","5","4","7","3","3","4","2","2","7","4","2","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","B","W","B","B","W","B","W","B","B","B","W","F","A","A","F","F","F","A","A","F","A","F","F","F","A","F",221,"20-30","Female","White","Associate degree","25k to less than 50k","Atheist/agnostic","6","2","Democrat",4,"Somewhat describes me","Somewhat describes me","Describes me","Describes me very well","Describes me very well","Does not describe me","Somewhat describes me","Somewhat describes me",3,3,4,5,5,2,3,3,6,9,7,6,"describeORfeel7",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"The man is angry at someone.","Angered","Scornful","Disdain","3",0,"B","A",0.5,1,1,NA,2,28,"Medium","The man is angry at someone. Angered Scornful Disdain"
"2192",2192,NA,NA,NA,1,NA,1,1,0,1,0,1,1,NA,1,1,0,0,0,1,0,1,1,NA,1,NA,1,1,0,1,1,"He look very sad","He will focus on something","He focus on something","This man age 25, he is man and he will white","He is 25 years old and the he belong to white","Surprises","He hate something","Neutral","He is 25 years old and the he belong to white","Neutral","Neutral","Sad","He is 25 years old and the he belong to Black","He is 25 years old and the he belong to white","Sad","Sad","Focus ","Neutral","25","25","Surprises","Sad","Neutral","25","33","25","Sad","25","25","Unhappy","Feeling","Unhappy","Focus","Male","Male","Shock","Bad","Bad","Male","Male","Male","Bad","Male","Male","Sad","unhappy","Sad","Sad","White","White","Sad","Unhappy","Sad","White","Black","White","Unhappy","Black","White","Bad","9","9","9","10","9","8","10","10","9","9","10","10","9","9","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","W","W","B","W","B","W","B","B","B","B","B","B","F","A","A","F","A","F","A","A","A","A","A","A","A","F","F",224,"20-30","Male","White","Bachelor's degree (BA/BS)","50k to less than 75k","Roman Catholic","2","2","Lean Republican",2,"Does not describe me","Somewhat describes me","Describes me","Somewhat describes me","Does not describe me","Somewhat describes me","Describes me","Somewhat describes me",2,3,4,3,2,3,4,3,5,7,5,7,"describeORfeel7",1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,"He hate something","Sad","Bad","Unhappy","10",0,"W","A",0.5,0,1,NA,6,24,"Low","He hate something Sad Bad Unhappy"
"2194",2194,NA,1,0,1,0,NA,0,0,0,NA,1,0,0,NA,1,0,1,NA,1,NA,0,NA,NA,NA,0,1,NA,NA,0,1,"it is a ugly person","he is a normal person","he is a good feel","he is a very angry and irrtiable","she is very angry to the world","he is a normal person","he is a normal person","he is shameful person","he s a very good person","he is a very surprice","he is a understand person","he is a very good person","he is very ugly","he is a smile person","he is a ugly person","ugly","ugly","good","ugly","angry","ugly","good","ugly","happy","surprice","understand","nice ","perfect","smiling","angry","rest","rest ","nice ","irritable","irrtiable","normal","happy","shameful","nice","good","power","good","ugly ","good","hunger","irritable","good","happy","angry","anger","good","nice","irritable","feel","fear","feel","happy","irritable","happy","irritable","9","9","8","9","8","9","9","6","8","9","8","8","9","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","B","B","W","B","W","W","B","W","B","B","B","A","A","F","A","A","A","A","A","A","F","A","A","A","F","A",226,"20-30","Male","Black or African American","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","2","7","Republican",3,"Describes me very well","Describes me","Describes me very well","Describes me very well","Describes me very well","Describes me","Describes me","Describes me very well",5,4,5,5,5,4,4,5,9,10,9,9,"describeORfeel7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,"he is a normal person","good","happy","nice","9",0,"W","A",0.5,0,1,0,6,37,"High","he is a normal person good happy nice"
"2195",2195,1,NA,1,NA,NA,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,NA,NA,1,1,1,NA,1,1,NA,NA,"A white man who is about 19 years of age.","This is a white male of 20 years of age.","A concerned man is trying to understand a thorny problem","A young black man appears to be about 20 years old.","Young black man of about 18 years","A white male who appears to be 20 years old.","An angry man is thinking about how poorly his performance in his last game went.","This photo shows a Black man who appears to be 21 years old.","A white man who could be 22 years old","A Black man who could be 20 years olf.","A white man who looks like he is 19 years old.","A Black man who could be 22 years old","A white man who could be 20 years old","A young Black man about 19 years old","A white man who is about 24 years old","white","white","concerned","Black","Black","20 years","angry","Black","white","Black","19 years","Man","white","black","white","male","male","thoughtful","man","man","male","frustrated","man","man","man","white","Black","man","man","male","19 years","20 years","understand","20 years","18 years","white","athlete","20 years","22 years","20 years","male","22 years","20 years","19 years","24 years","4","4","5","5","6","4","6","7","6","5","4","4","6","6","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","B","B","W","B","B","W","B","W","B","W","B","W","F","A","A","A","F","F","A","F","A","F","A","A","F","F","F",227,"41-50","Female","Native Hawaiian or Pacific Islander","Master's degree (MA/MS/MBA)","50k to less than 75k","Atheist/agnostic","7","1","Independent",3,"Somewhat describes me","Somewhat describes me","Describes me","Describes me","Does not describe me","Does not describe me well","Describes me very well","Describes me very well",3,3,4,4,2,1,5,5,6,8,3,10,"describeORfeel7",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"An angry man is thinking about how poorly his performance in his last game went.","angry","frustrated","athlete","6",0,"B","A",0.5,1,1,0,1,27,"Low","An angry man is thinking about how poorly his performance in his last game went. angry frustrated athlete"
"2200",2200,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,1,1,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,1,1,"This person seems like they were just surprised at a party.","This person is a male in his early 30's and is Caucasian.","This person seems to be in an uncomfortable situation.","This person seems to be angry about something.","This person definitely seems to be in an awkward or uncomfortable situation.","This person appears to be angry about something that just happened.","He seems to be looking at something another person is showing him and the expression says ""Are you serious about that?""","He seems to be upset about something or tired of something happening multiple times.","This person is definitely angry.","This person is surprised about something.","He seems to be surprised as though someone snuck up on him.","This person seems like they are in a rush.","This person seems like they are having a normal day.","This person appears so be suspicious of something.","This person seems to be happily surprised.","Suprised","31","Concerned","Upset","Concerned","Mad","Surprised","Finished","mad","Surprised","Scared","rushed","relaxed","concerned","Excited","Overwhelmed","Male","Uncomfortable","Angry","Scared","Stressed","Confused","Upset","Upset","Anxious","Thrown off","Excited","Happy","attentive","Joyful","Excited","White","Anxious","Sad","Disturbed ","Upset","Concerned","Angry","Angry","Confused","Surprised","Stressed","Normal","stressed","Happy","7","4","5","4","6","4","5","4","4","6","5","4","7","6","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","B","B","W","W","W","W","W","B","W","W","W","B","F","F","F","A","F","A","F","A","A","F","F","F","F","A","F",232,"20-30","Male","White","Associate degree","75k to less than 100k","Protestant","4","4","Lean Democrat",3,"Somewhat describes me","Describes me","Does not describe me","Does not describe me","Describes me","Somewhat describes me","Somewhat describes me","Describes me",3,4,2,2,4,3,3,4,7,4,7,7,"describeORfeel7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,"He seems to be looking at something another person is showing him and the expression says ""Are you serious about that?""","Surprised","Confused","Concerned","5",0,"W","F",0.5,0,0,1,4,25,"Low","He seems to be looking at something another person is showing him and the expression says ""Are you serious about that?"" Surprised Confused Concerned"
